Site,Site_name,Lat,Lon
001000,KARUNJIE,-16.2919,127.1956
001001,OOMBULGURRI,-15.1806,127.8456
001002,BEVERLEY SP,-16.5825,125.4828
001003,PAGO MISSION,-14.1331,126.7158
001004,KUNMUNYA,-15.4167,124.7167
001005,WYNDHAM PORT,-15.4644,128.1
001006,WYNDHAM AERO,-15.51,128.1503
001007,TROUGHTON ISLAND,-13.7542,126.1485
001008,MOUNT ELIZABETH OLD SITE,-16.3017,126.1825
001009,KURI BAY,-15.4875,124.5222
001010,THEDA,-14.7885,126.4963
001011,PANTA DOWNS,-16.0497,124.95
001012,MITCHELL PLATEAU,-14.7925,125.8258
001013,WYNDHAM,-15.4869,128.1236
001014,EMMA GORGE,-15.9083,128.1286
001015,KING RIVER PUMPING STN,-15.6,128.0833
001016,CARSON RIVER STATION,-14.4861,126.7664
001017,NULLA NULLA,-15.5,127.8333
001018,MOUNT ELIZABETH,-16.4181,126.1025
001019,KALUMBURU,-14.2964,126.6453
001020,TRUSCOTT,-14.09,126.3867
001021,KALUMBURU MISSION,-14.2961,126.6431
001022,WYNDHAM SIX MILE HOTEL,-15.4997,128.1997
001023,EL QUESTRO,-16.0086,127.9806
001024,ELLENBRAE,-15.9572,127.0628
001025,DOONGAN,-15.3797,126.3114
001026,DRYSDALE RIVER STATION,-15.7031,126.3781
001027,DIGGERS REST,-15.6394,128.0803
001028,HOME VALLEY,-15.7231,127.8292
001029,WYNDHAM NORTH,-15.4467,128.1075
001030,KIMBERLEY COASTAL CAMP,-14.5786,125.9133
001031,FARAWAY BAY,-13.96,127.1964
001032,MCGOWAN ISLAND,-14.1472,126.6483
001033,DRYSDALE RIVER AIRSTRIP,-15.7119,126.3817
001034,WEST BASTION,-15.4533,128.1239
001035,PARRY CREEK FARM,-15.5972,128.2783
001036,DOONGAN ASA,-15.3792,126.3108
002000,ALICE DOWNS,-17.7569,127.9386
002001,ARGYLE DOWNS,-16.5039,128.9173
002002,BOHEMIA DOWNS,-18.8833,126.2333
002003,BOW RIVER,-16.87,128.1836
002004,GLEN HILL,-16.5833,128.3667
002005,CARLTON HILL,-15.4864,128.5344
002006,ASCOT,-15.5,128.25
002007,DUNHAM RIVER STATION,-16.3167,128.25
002008,FLORA VALLEY OLD,-18.3167,128.0
002009,GIBB RIVER,-16.4202,126.4412
002010,GORDON DOWNS,-18.7506,128.5842
002011,OLD HALLS CREEK,-18.2519,127.7817
002012,HALLS CREEK METEOROLOGICAL OFFICE,-18.2291,127.6636
002013,IVANHOE STATION,-15.69,128.6833
002014,KIMBERLEY RES.STATION,-15.6545,128.7091
002015,LAMBOO,-18.4086,127.3547
002016,LISSADELL,-16.6742,128.5533
002017,LOUISA DOWNS,-18.7106,126.7111
002018,MABEL DOWNS,-17.1792,128.1217
002019,MARGARET RIVER STATION,-18.6253,126.8617
002020,MOOLA BULLA,-18.1894,127.5011
002021,MOUNT AMHURST,-18.3869,126.9892
002022,MOUNT WINIFRED,-18.016,126.3033
002023,NICHOLSON,-18.031,128.8941
002024,ORD RIVER,-17.4,128.85
002025,ROCKHOLE DOWNS,-18.3667,127.5667
002026,RUBY PLAINS,-18.5959,127.642
002027,SPEEWA STATION,-16.35,128.0333
002028,SPRING CREEK,-16.818,128.8656
002029,STURT CREEK,-19.1625,128.1633
002030,YULMBU,-17.2986,126.9158
002031,TEXAS DOWNS,-17.0103,128.4669
002032,WARMUN,-17.0154,128.2174
002033,TURNER RIVER,-17.8,128.3
002034,ELVIRE,-18.45,127.95
002035,GREENVALE,-17.15,127.75
002036,OLD MORNINGTON HOMESTEAD,-17.3922,126.2306
002037,VIOLET VALLEY,-17.3,128.0
002038,KUNUNURRA,-15.7828,128.7353
002039,DIMOND GORGE,-17.6667,126.0333
002040,SAUNDERS CREEK,-18.0333,127.9833
002041,ORD RIVER REGENERATION STATION,-17.385,128.9231
002042,GLENROY,-17.3594,126.1086
002043,MOUNT KRAUSS,-18.3368,126.1243
002044,LAKE ARGYLE RESORT,-16.1119,128.7414
002045,FOAL CREEK,-17.3167,127.7
002046,ADA VALE,-16.95,128.1
002047,BEDFORD DOWNS,-17.2631,127.4617
002048,FLORA VALLEY,-18.2972,128.4419
002049,SOPHIE DOWNS,-18.1947,127.8147
002050,SPRINGVALE,-17.7842,127.6853
002051,BILLILUNA,-19.5557,127.6661
002052,TROPICAL FARM - ORD RIVER,-15.8367,128.7397
002053,LANSDOWNE,-17.6133,126.7442
002054,SPRINGVALE WEST,-17.8333,127.2333
002055,LEWIS CREEK,-19.1,128.5333
002056,KUNUNURRA AERO,-15.7814,128.71
002057,BUNGLE BUNGLE NATIONAL PARK,-17.4206,128.2992
002058,EUROTO,-18.35,128.4833
002059,RUBY CREEK GOLDMINE,-18.4333,127.75
002060,KINGSTON REST,-16.0397,128.415
002061,CARRANYA,-19.3322,127.6367
002062,FOX RIVER,-18.4233,128.0308
002063,LARRANGANNI,-19.8761,128.4581
002064,ARGYLE AERODROME,-16.638,128.4516
002065,MORNINGTON,-17.3936,126.2281
002066,CARRANYA 2,-19.1764,127.6497
002067,KUNUNURRA CHECKPOINT,-15.9816,128.9991
002068,MARION DOWNS,-17.0716,126.8494
002069,KACHANA,-16.4433,127.7836
