model,features,target,accuracy,precision,recall,f1,roc_auc,MAE,RMSE,R2,derived_f1,derived_accuracy
DecisionTree,selected,RainTomorrow,0.8236132869889768,0.6036904386801992,0.6182589288716127,0.6108797570629327,0.7505669028767239,,,,,
DecisionTree,no_critical,RainTomorrow,0.8188182382402711,0.5926755835793418,0.6107224173915984,0.6015565744637656,0.744796714161418,,,,,
DecisionTree,all,RainTomorrow,0.8228588507345911,0.6016550128464898,0.6184871089387438,0.6099264386124684,0.7501619753427333,,,,,
LogisticRegression,selected,RainTomorrow,0.8447689347331361,0.7222315763333103,0.49870096458567276,0.5899911416416604,0.8667667888159418,,,,,
LogisticRegression,no_critical,RainTomorrow,0.8416361846089749,0.720160448118952,0.4790315347118601,0.5753471316516923,0.8571239442807244,,,,,
LogisticRegression,all,RainTomorrow,0.846456783258259,0.7248068355359729,0.506894125418755,0.5965591171083966,0.8697701939865675,,,,,
RandomForest,selected,RainTomorrow,0.8812367203592129,0.8280804894938285,0.5927659069833687,0.690928607126067,0.9192179657368799,,,,,
RandomForest,no_critical,RainTomorrow,0.8788711846075341,0.8234883790633815,0.5844015010688299,0.6836371835696055,0.9149009021587797,,,,,
RandomForest,all,RainTomorrow,0.8805334564589954,0.8256433357012497,0.5914812815689947,0.6891970576349362,0.919146194799843,,,,,
DecisionTree,original,RainTomorrow,0.8197580597009626,0.5956285471806242,0.6079532767162152,0.6017185164594865,0.7444172322361755,,,,,
LogisticRegression,original,RainTomorrow,0.8444812489634245,0.7217892938847836,0.49727371847888924,0.5888413759136555,0.8618319415768113,,,,,
LinearRegression,selected,RISK_MM,,,,,,0.49868055452604215,0.7123412959549741,0.38108260998399723,0.5995406314699793,0.8417129120527836
LinearRegression,no_critical,RISK_MM,,,,,,0.5075026705788568,0.7234061533126622,0.36170588772142465,0.5840925476830308,0.8377234483287728
LinearRegression,all,RISK_MM,,,,,,0.49261134964739367,0.7075257545445742,0.38942228724727157,0.6028151675656414,0.8432281410633455
GradientBoosting,selected,RISK_MM,,,,,,0.38386111344798934,0.6238137787173527,0.5253577788628891,0.6382297964063789,0.8626512032324886
GradientBoosting,no_critical,RISK_MM,,,,,,0.3897225706019795,0.630283621751061,0.5154612828680136,0.6319433837380989,0.8613469554765619
GradientBoosting,all,RISK_MM,,,,,,0.3806257027564001,0.6193738960703083,0.5320900969666402,0.6401707390851342,0.8631051325985218
RandomForestRegressor,selected,RISK_MM,,,,,,0.3646380270336256,0.599902753354142,0.5610468683914701,0.6792726335625815,0.8726887962560418
RandomForestRegressor,no_critical,RISK_MM,,,,,,0.37140879669983806,0.6062478528418491,0.5517122532563352,0.6712184703997929,0.8700803007441884
LinearRegression,original,RISK_MM,,,,,,0.5008644833363134,0.7178379666733478,0.3714941990400288,0.5972892107973775,0.8425248702145616
GradientBoosting,original,RISK_MM,,,,,,0.3897797109428409,0.6308744682456531,0.5145524152406649,0.6313446426764696,0.8602281154898601
RandomForestRegressor,original,RISK_MM,,,,,,0.3648748291682165,0.6052703815683634,0.5531566629663777,0.6703368297608965,0.8705981638237476
RandomForestRegressor,all,RISK_MM,,,,,,0.3639595144578761,0.597147126210398,0.5650702306961268,0.6821752849507373,0.8737820627573332
