model,features,target,accuracy,precision,recall,f1,roc_auc,MAE,RMSE,R2,derived_f1,derived_accuracy
DecisionTree,selected,RainTomorrow,0.8177313788031693,0.5904654587674327,0.6076392683094312,0.5989103432771712,0.7429997457196815,,,,,
DecisionTree,no_critical,RainTomorrow,0.8131473262693772,0.5798285908390318,0.6017012317167522,0.5905513285788115,0.7379340727264363,,,,,
DecisionTree,all,RainTomorrow,0.8199434635053642,0.5954801027914346,0.6110935726958212,0.6031753617069656,0.7456537232878248,,,,,
LogisticRegression,selected,RainTomorrow,0.8420773230631677,0.7165417573634414,0.48788142232730874,0.5804914519369421,0.8619205566825945,,,,,
LogisticRegression,no_critical,RainTomorrow,0.8396542390804391,0.7175756188145141,0.46841171929108183,0.5668013600300753,0.8521206028843796,,,,,
LogisticRegression,all,RainTomorrow,0.8456767958770467,0.7226600892034324,0.5045817809268408,0.5942358685822224,0.8690539330739515,,,,,
RandomForest,selected,RainTomorrow,0.8786218286958698,0.8211667890114984,0.5855148936274261,0.6835927319198887,0.914181739708766,,,,,
RandomForest,no_critical,RainTomorrow,0.8756681017986111,0.8139114375657002,0.5766935529717263,0.6750572158747813,0.907893024371114,,,,,
RandomForest,all,RainTomorrow,0.879440191715058,0.8224401993008389,0.5887977002683332,0.6862516961823031,0.9172902009808379,,,,,
DecisionTree,original,RainTomorrow,0.8386760487261364,0.6487583695256584,0.6098944659039065,0.6286908940613327,0.7572964073585402,,,,,
LogisticRegression,original,RainTomorrow,0.8553371802792913,0.7349366234262436,0.553798108809763,0.6316193050135033,0.8874375092420237,,,,,
LinearRegression,selected,RISK_MM,,,,,,3.398244905584304,7.720222615881141,0.17815566026393537,0.5031855598377123,0.5936820704293788
LinearRegression,no_critical,RISK_MM,,,,,,3.411270902492914,7.765928296336483,0.16839580027774448,0.4951773973452425,0.5837275912334092
LinearRegression,all,RISK_MM,,,,,,3.2764173418458964,7.568672694479792,0.2101049894134558,0.5117861173366395,0.6072551978109096
LinearRegression,selected,RISK_MM,,,,,,3.398244905584304,7.720222615881141,0.17815566026393537,0.5031855598377123,0.5936820704293788
LinearRegression,no_critical,RISK_MM,,,,,,3.411270902492914,7.765928296336483,0.16839580027774448,0.4951773973452425,0.5837275912334092
LinearRegression,all,RISK_MM,,,,,,3.2764173418458973,7.568672694479792,0.2101049894134558,0.5117861173366395,0.6072551978109096
RandomForestRegressor,selected,RISK_MM,,,,,,2.3638324233434775,6.644614789381112,0.3912071569572193,0.5997035903810298,0.7323415083241696
RandomForestRegressor,no_critical,RISK_MM,,,,,,2.402320301511393,6.707066921978585,0.3797093989169623,0.5926496311506578,0.7260440375418766
RandomForestRegressor,all,RISK_MM,,,,,,2.328109454517556,6.590938294070565,0.40100332366526703,0.6054250801629257,0.738018822085262
GradientBoosting,selected,RISK_MM,,,,,,2.425497041472503,6.816624871440353,0.3592793653110793,0.5753424657534246,0.7110324016060149
GradientBoosting,no_critical,RISK_MM,,,,,,2.4221268839509538,6.84503236313326,0.3539279803422263,0.5711346294902693,0.7121640283354218
GradientBoosting,all,RISK_MM,,,,,,2.3608390238316956,6.695859869990367,0.3817805937464299,0.5869791465906025,0.7259801038283508
